model,cv_bal_acc,params
logreg,0.6598639455782312,"{""clf__C"": 10, ""clf__penalty"": ""l2"", ""clf__solver"": ""liblinear""}"
xgboost,0.6241496598639455,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100}"
