model,cv_bal_acc,params,boundary_warnings
logreg,0.673611111111111,"{""clf__C"": 0.01, ""clf__penalty"": ""l2"", ""clf__solver"": ""liblinear""}",
xgboost,0.6819444444444445,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""reg_lambda"": 10, ""subsample"": 0.7}","colsample_bytree=0.7 at LOW edge of [0.7, 0.85, 1.0] — consider extending downward; n_estimators=300 at HIGH edge of [50, 100, 200, 300] — consider extending upward; reg_lambda=10 at HIGH edge of [0.1, 1, 5, 10] — consider extending upward; subsample=0.7 at LOW edge of [0.7, 0.85, 1.0] — consider extending downward"
