fold,model,train_accuracy,accuracy,balanced_accuracy,auc,average_precision,f1,threshold,n_features,n_eeg_features,n_clinical_features
0,logreg,0.6588235294117647,0.5454545454545454,0.5128205128205128,0.5897435897435898,0.71892668734774,0.6428571428571429,0.49999999999999994,14,12,2
1,ensemble_soft_vote,0.9764705882352941,0.7272727272727273,0.7008547008547008,0.7606837606837606,0.8065140212913493,0.7857142857142857,0.575,14,12,2
2,ensemble_soft_vote,1.0,0.3333333333333333,0.34134615384615385,0.34615384615384615,0.5609401219695337,0.36363636363636365,0.58,14,12,2
3,logreg,0.6511627906976745,0.47619047619047616,0.45833333333333337,0.43518518518518523,0.5235261867905058,0.56,0.49999999999999994,14,12,2
4,ensemble_soft_vote,0.9302325581395349,0.47619047619047616,0.48611111111111116,0.462962962962963,0.548270697883701,0.47619047619047616,0.635,14,12,2
mean,,0.8433,0.5117,0.4999,0.5189,0.6316,0.5657,0.558,,,
std,,0.1554,0.128,0.1163,0.1438,0.1112,0.1437,0.0518,,,
