model,cv_bal_acc,params,boundary_warnings
logreg,0.6775,"{""clf__C"": 0.1, ""clf__penalty"": ""l1"", ""clf__solver"": ""liblinear""}",
rf,0.6553571428571429,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 400}","min_samples_leaf=1 at LOW edge of [1, 2, 4]"
svm,0.6696428571428571,"{""clf__C"": 10, ""clf__gamma"": 0.1, ""clf__kernel"": ""rbf""}",
xgboost,0.7092857142857143,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.2, ""max_depth"": 2, ""n_estimators"": 200, ""reg_lambda"": 0.1, ""subsample"": 0.7}","learning_rate=0.2 at HIGH edge of [0.005, 0.01, 0.03, 0.05, 0.1, 0.2]; max_depth=2 at LOW edge of [2, 3, 4, 5, 6, 7]; reg_lambda=0.1 at LOW edge of [0.1, 1, 5, 10]; subsample=0.7 at LOW edge of [0.7, 0.85, 1.0]"
