model,cv_bal_acc,params,boundary_warnings
logreg,0.6833333333333333,"{""clf__C"": 0.1, ""clf__penalty"": ""l1"", ""clf__solver"": ""liblinear""}",
xgboost,0.7249999999999999,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.01, ""max_depth"": 2, ""n_estimators"": 50, ""reg_lambda"": 10, ""subsample"": 1.0}","colsample_bytree=0.7 at LOW edge of [0.7, 0.85, 1.0] — consider extending downward; max_depth=2 at LOW edge of [2, 3, 4, 5, 6, 7] — consider extending downward; n_estimators=50 at LOW edge of [50, 100, 200, 300] — consider extending downward; reg_lambda=10 at HIGH edge of [0.1, 1, 5, 10] — consider extending upward; subsample=1.0 at HIGH edge of [0.7, 0.85, 1.0] — consider extending upward"
