sheet,band,count,n_folds,selected
coherence,Delta,1,7,False
coherence,Theta,1,7,False
coherence,Alpha,2,7,False
coherence,Beta,7,7,True
coherence,HighBeta,3,7,False
coherence,Alpha1,0,7,False
coherence,Alpha2,5,7,False
coherence,Beta1,6,7,True
coherence,Beta2,0,7,False
coherence,Beta3,2,7,False
