sheet,band,count,n_folds,selected
power_uv1,Delta,1,7,False
power_uv1,Theta,3,7,False
power_uv1,Alpha,3,7,False
power_uv1,Beta,5,7,True
power_uv1,HighBeta,3,7,False
power_uv1,Alpha1,3,7,False
power_uv1,Alpha2,5,7,True
power_uv1,Beta1,1,7,False
power_uv1,Beta2,1,7,False
power_uv1,Beta3,3,7,False
