model,cv_bal_acc,params,boundary_warnings
logreg,0.7652777777777777,"{""clf__C"": 0.1, ""clf__l1_ratio"": 0.7, ""clf__penalty"": ""elasticnet"", ""clf__solver"": ""saga""}",
rf,0.7569444444444444,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""min_samples_split"": 10, ""n_estimators"": 200}","min_samples_leaf=4 at HIGH edge of [1, 2, 4]; min_samples_split=10 at HIGH edge of [2, 5, 10]; n_estimators=200 at LOW edge of [200, 400, 800]"
svm,0.7319444444444445,"{""clf__C"": 0.1, ""clf__kernel"": ""linear""}",
xgboost,0.7097222222222221,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.005, ""max_depth"": 2, ""n_estimators"": 50, ""reg_lambda"": 10, ""subsample"": 0.7}","colsample_bytree=1.0 at HIGH edge of [0.7, 0.85, 1.0]; learning_rate=0.005 at LOW edge of [0.005, 0.01, 0.03, 0.05, 0.1, 0.2]; max_depth=2 at LOW edge of [2, 3, 4, 5, 6, 7]; n_estimators=50 at LOW edge of [50, 100, 200, 300]; reg_lambda=10 at HIGH edge of [0.1, 1, 5, 10]; subsample=0.7 at LOW edge of [0.7, 0.85, 1.0]"
