model,cv_bal_acc,params,boundary_warnings
logreg,0.7180555555555556,"{""clf__C"": 0.001, ""clf__penalty"": ""l2"", ""clf__solver"": ""saga""}",
rf,0.7013888888888888,"{""max_depth"": 5, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 800}","n_estimators=800 at HIGH edge of [200, 400, 800]"
svm,0.7430555555555556,"{""clf__C"": 100, ""clf__gamma"": 0.01, ""clf__kernel"": ""rbf""}",
xgboost,0.711111111111111,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.005, ""max_depth"": 3, ""n_estimators"": 50, ""reg_lambda"": 0.1, ""subsample"": 1.0}","learning_rate=0.005 at LOW edge of [0.005, 0.01, 0.03, 0.05, 0.1, 0.2]; n_estimators=50 at LOW edge of [50, 100, 200, 300]; reg_lambda=0.1 at LOW edge of [0.1, 1, 5, 10]; subsample=1.0 at HIGH edge of [0.7, 0.85, 1.0]"
