feature
coherence__Beta__col_mean
coherence__Beta__col_std
coherence__Beta__g_mean
coherence__Beta__g_std
coherence__Beta__g_med
coherence__HighBeta__col_mean
coherence__HighBeta__col_std
coherence__HighBeta__g_mean
coherence__HighBeta__g_std
coherence__HighBeta__g_med
coherence__Beta2__col_mean
coherence__Beta2__col_std
coherence__Beta2__g_mean
coherence__Beta2__g_std
coherence__Beta2__g_med
phaselag__Delta__col_mean
phaselag__Delta__col_std
phaselag__Delta__g_mean
phaselag__Delta__g_std
phaselag__Delta__g_med
phaselag__Beta__col_mean
phaselag__Beta__col_std
phaselag__Beta__g_mean
phaselag__Beta__g_std
phaselag__Beta__g_med
phaselag__HighBeta__col_mean
phaselag__HighBeta__col_std
phaselag__HighBeta__g_mean
phaselag__HighBeta__g_std
phaselag__HighBeta__g_med
power_uv1__Theta__col_mean
power_uv1__Theta__col_std
power_uv1__Theta__g_mean
power_uv1__Theta__g_std
power_uv1__Theta__g_med
power_uv1__Alpha__col_mean
power_uv1__Alpha__col_std
power_uv1__Alpha__g_mean
power_uv1__Alpha__g_std
power_uv1__Alpha__g_med
power_uv1__Alpha1__col_mean
power_uv1__Alpha1__col_std
power_uv1__Alpha1__g_mean
power_uv1__Alpha1__g_std
power_uv1__Alpha1__g_med
power_uv1__Beta3__col_mean
power_uv1__Beta3__col_std
power_uv1__Beta3__g_mean
power_uv1__Beta3__g_std
power_uv1__Beta3__g_med
