model,cv_bal_acc,params,boundary_warnings
logreg,0.6041558441558441,"{""clf__C"": 0.1, ""clf__l1_ratio"": 0.5, ""clf__penalty"": ""elasticnet"", ""clf__solver"": ""saga""}",
rf,0.5951948051948053,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}","min_samples_leaf=1 at LOW edge of [1, 2, 4]; min_samples_split=2 at LOW edge of [2, 5, 10]; n_estimators=200 at LOW edge of [200, 400, 800]"
svm,0.6102597402597403,"{""clf__C"": 1, ""clf__gamma"": ""scale"", ""clf__kernel"": ""rbf""}",
xgboost,0.6575324675324675,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.2, ""max_depth"": 2, ""n_estimators"": 200, ""reg_lambda"": 10, ""subsample"": 1.0}","learning_rate=0.2 at HIGH edge of [0.005, 0.01, 0.03, 0.05, 0.1, 0.2]; max_depth=2 at LOW edge of [2, 3, 4, 5, 6, 7]; reg_lambda=10 at HIGH edge of [0.1, 1, 5, 10]; subsample=1.0 at HIGH edge of [0.7, 0.85, 1.0]"
