model,cv_bal_acc,params,boundary_warnings
logreg,0.6819444444444445,"{""clf__C"": 100, ""clf__penalty"": ""l1"", ""clf__solver"": ""liblinear""}",
rf,0.6902777777777777,"{""max_depth"": 5, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""n_estimators"": 400}","min_samples_leaf=4 at HIGH edge of [1, 2, 4]; min_samples_split=2 at LOW edge of [2, 5, 10]"
svm,0.7055555555555555,"{""clf__C"": 1, ""clf__gamma"": 0.01, ""clf__kernel"": ""rbf""}",
xgboost,0.7180555555555556,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.2, ""max_depth"": 4, ""n_estimators"": 200, ""reg_lambda"": 10, ""subsample"": 0.85}","colsample_bytree=0.7 at LOW edge of [0.7, 0.85, 1.0]; learning_rate=0.2 at HIGH edge of [0.005, 0.01, 0.03, 0.05, 0.1, 0.2]; reg_lambda=10 at HIGH edge of [0.1, 1, 5, 10]"
