model,cv_bal_acc,params
logreg,0.5731292517006803,"{""clf__C"": 1, ""clf__penalty"": ""l2""}"
xgboost,0.6360544217687075,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100}"
