feature
coherence__Theta__mean
coherence__Theta__std
phase_lag__Delta__mean
phase_lag__Delta__std
phase_lag__Beta1__mean
phase_lag__Beta1__std
power_uv1__Alpha2__mean
power_uv1__Alpha2__std
