model,cv_bal_acc,params,boundary_warnings
logreg,0.6930555555555555,"{""clf__C"": 500, ""clf__penalty"": ""l1"", ""clf__solver"": ""liblinear""}",
xgboost,0.663888888888889,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 100, ""reg_lambda"": 0.1, ""subsample"": 0.7}","colsample_bytree=0.7 at LOW edge of [0.7, 0.85, 1.0] — consider extending downward; reg_lambda=0.1 at LOW edge of [0.1, 1, 5, 10] — consider extending downward; subsample=0.7 at LOW edge of [0.7, 0.85, 1.0] — consider extending downward"
