model,cv_bal_acc,params,boundary_warnings
logreg,0.6541666666666667,"{""clf__C"": 0.1, ""clf__l1_ratio"": 0.3, ""clf__penalty"": ""elasticnet"", ""clf__solver"": ""saga""}",
rf,0.6874999999999999,"{""max_depth"": 5, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 200}","min_samples_split=10 at HIGH edge of [2, 5, 10]; n_estimators=200 at LOW edge of [200, 400, 800]"
svm,0.6722222222222223,"{""clf__C"": 1, ""clf__gamma"": 0.1, ""clf__kernel"": ""rbf""}",
xgboost,0.701388888888889,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.2, ""max_depth"": 5, ""n_estimators"": 300, ""reg_lambda"": 0.1, ""subsample"": 0.7}","colsample_bytree=1.0 at HIGH edge of [0.7, 0.85, 1.0]; learning_rate=0.2 at HIGH edge of [0.005, 0.01, 0.03, 0.05, 0.1, 0.2]; n_estimators=300 at HIGH edge of [50, 100, 200, 300]; reg_lambda=0.1 at LOW edge of [0.1, 1, 5, 10]; subsample=0.7 at LOW edge of [0.7, 0.85, 1.0]"
