model,cv_bal_acc,params,boundary_warnings
logreg,0.5888888888888888,"{""clf__C"": 50, ""clf__penalty"": ""l2"", ""clf__solver"": ""liblinear""}",
xgboost,0.6458333333333333,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.2, ""max_depth"": 4, ""n_estimators"": 100, ""reg_lambda"": 0.1, ""subsample"": 0.85}","colsample_bytree=0.7 at LOW edge of [0.7, 0.85, 1.0] — consider extending downward; learning_rate=0.2 at HIGH edge of [0.005, 0.01, 0.03, 0.05, 0.1, 0.2] — consider extending upward; reg_lambda=0.1 at LOW edge of [0.1, 1, 5, 10] — consider extending downward"
