model,cv_bal_acc,params,boundary_warnings
logreg,0.6114285714285714,"{""clf__C"": 0.1, ""clf__l1_ratio"": 0.3, ""clf__penalty"": ""elasticnet"", ""clf__solver"": ""saga""}",
rf,0.5785714285714285,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 800}","min_samples_leaf=1 at LOW edge of [1, 2, 4]; min_samples_split=2 at LOW edge of [2, 5, 10]; n_estimators=800 at HIGH edge of [200, 400, 800]"
svm,0.6071428571428572,"{""clf__C"": 10, ""clf__gamma"": ""scale"", ""clf__kernel"": ""rbf""}",
xgboost,0.6057142857142858,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 100, ""reg_lambda"": 1, ""subsample"": 0.85}","colsample_bytree=1.0 at HIGH edge of [0.7, 0.85, 1.0]"
