fold,model,train_accuracy,accuracy,balanced_accuracy,auc,average_precision,f1,threshold,n_features,n_eeg_features,n_clinical_features
0,xgboost,1.0,0.7727272727272727,0.7666666666666666,0.7833333333333333,0.7041806722689076,0.7368421052631579,0.49999999999999994,15,12,3
1,svm,0.8470588235294118,0.5454545454545454,0.5454545454545454,0.6694214876033058,0.6688934802571166,0.4444444444444444,0.5299999999999999,15,12,3
2,rf,0.9069767441860465,0.5238095238095238,0.5272727272727272,0.6818181818181819,0.7391495165559336,0.5,0.49999999999999994,15,12,3
3,xgboost,0.7906976744186046,0.5714285714285714,0.5681818181818181,0.6363636363636364,0.6915092483274302,0.6086956521739131,0.49999999999999994,15,12,3
4,svm,0.813953488372093,0.5714285714285714,0.5681818181818181,0.6727272727272727,0.752958152958153,0.6086956521739131,0.5099999999999999,15,12,3
mean,,0.8717,0.597,0.5952,0.6887,0.7113,0.5797,0.508,,,
std,,0.0751,0.0897,0.0871,0.0497,0.0308,0.101,0.0117,,,
