fold,model,train_accuracy,accuracy,balanced_accuracy,auc,average_precision,f1,threshold,n_features,n_eeg_features,n_clinical_features
0,xgboost,1.0,0.7272727272727273,0.7272727272727273,0.7520661157024794,0.6574821939795201,0.75,0.12499999999999999,15,12,3
1,logreg,0.6941176470588235,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.6937605722294717,0.7272727272727273,0.49999999999999994,15,12,3
2,xgboost,0.8372093023255814,0.6190476190476191,0.6272727272727273,0.6136363636363636,0.5741196303696304,0.6666666666666666,0.4799999999999999,15,12,3
3,logreg,0.7441860465116279,0.5238095238095238,0.5318181818181817,0.5454545454545454,0.6800994413223516,0.4444444444444444,0.48499999999999993,15,12,3
4,xgboost,1.0,0.6666666666666666,0.6590909090909092,0.7909090909090909,0.8615079365079366,0.72,0.21999999999999997,15,12,3
mean,,0.8551,0.6528,0.6545,0.6859,0.6934,0.6617,0.362,,,
std,,0.1269,0.0762,0.0727,0.0917,0.0938,0.112,0.1578,,,
