fold,model,train_accuracy,accuracy,balanced_accuracy,auc,average_precision,f1,threshold,n_features,n_eeg_features,n_clinical_features
0,xgboost,1.0,0.7727272727272727,0.7727272727272727,0.7520661157024794,0.6574821939795201,0.7619047619047619,0.49999999999999994,15,12,3
1,logreg,0.6941176470588235,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.6937605722294717,0.7272727272727273,0.49999999999999994,15,12,3
2,ensemble_soft_vote,0.7441860465116279,0.5238095238095238,0.5090909090909091,0.6272727272727272,0.6727856405720183,0.2857142857142857,0.585,15,12,3
3,logreg,0.7209302325581395,0.5714285714285714,0.5863636363636364,0.5454545454545454,0.6800994413223516,0.4,0.5099999999999999,15,12,3
4,xgboost,1.0,0.7619047619047619,0.759090909090909,0.7909090909090909,0.8615079365079366,0.782608695652174,0.49999999999999994,15,12,3
mean,,0.8318,0.6714,0.6709,0.6886,0.7131,0.5915,0.519,,,
std,,0.1382,0.1033,0.1045,0.0897,0.0751,0.207,0.0332,,,
