fold,model,train_accuracy,accuracy,balanced_accuracy,auc,average_precision,f1,threshold,n_features,n_eeg_features,n_clinical_features
0,xgboost,1.0,0.7727272727272727,0.7727272727272727,0.7520661157024794,0.6574821939795201,0.7619047619047619,0.49999999999999994,18,12,6
1,logreg,0.6941176470588235,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.6937605722294717,0.7272727272727273,0.49999999999999994,18,12,6
2,ensemble_soft_vote,0.7674418604651163,0.5238095238095238,0.5090909090909091,0.6545454545454545,0.6870013268465281,0.2857142857142857,0.59,18,12,6
3,rf,0.813953488372093,0.5238095238095238,0.5363636363636364,0.6818181818181818,0.7447060515242334,0.375,0.49999999999999994,18,12,6
4,xgboost,1.0,0.8095238095238095,0.8090909090909091,0.7545454545454545,0.8009067089210631,0.8181818181818182,0.49999999999999994,18,12,6
mean,,0.8551,0.6714,0.6709,0.714,0.7168,0.5936,0.518,,,
std,,0.1243,0.1233,0.124,0.0396,0.0506,0.2187,0.036,,,
