sheet,band,count,n_folds,selected
phaselag,Delta,2,7,False
phaselag,Theta,2,7,False
phaselag,Alpha,2,7,False
phaselag,Beta,3,7,False
phaselag,HighBeta,7,7,True
phaselag,Alpha1,1,7,False
phaselag,Alpha2,0,7,False
phaselag,Beta1,2,7,False
phaselag,Beta2,7,7,True
phaselag,Beta3,1,7,False
